experiment,x_variable,x_label,y_variable,y_label,observed_x,observed_y,plot_x,plot_y,spearman_rho,q_value
4,aq_score,AQ,4_nf_daily,Daily familiarity,13,-0.25,12.899439538955084,-0.2550559143982154,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,22,1.625,21.929072726287959,1.635211303508685,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,12,-0.375,12.036638705823371,-0.39524087015047082,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,32,0.25,31.893411147198432,0.27280935997172312,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,26,0.875,25.975678363285589,0.90005180712661981,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,25,0,24.841203144431852,0.024254842066116999,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,27,0.375,27.083403263343989,0.3995907196177117,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,7,-0.625,6.8938065998345808,-0.60114862026754678,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,15,-0.125,14.94359191943725,-0.1341317558133632,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,23,-0.75,23.070586052255042,-0.74235431331227508,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,15,-1.125,14.892283671396951,-1.1169271247925334,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,10,-0.25,10.071650304713538,-0.2385772915850293,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,11,-1.625,10.880232153552868,-1.6271730682668224,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,20,-1.5,20.05640997730675,-1.4749495569293125,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,28,1,28.102330251437387,0.98580284201236645,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,19,2.5,18.93604620353517,2.4939051629665721,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,24,-1.375,23.924803289505252,-1.3879711030391542,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,22,0.25,22.087448690182605,0.24932608797128089,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,15,-0.875,15.170826048718585,-0.85527670955306589,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,29,1,29.1521573002154,1.0123822419056578,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,12,-3,11.954618042137808,-2.984158314532841,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,32,0.625,32.028453214945152,0.60850029341484491,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,19,-0.25,18.954847024185216,-0.26911463920861228,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,20,1.125,19.860126846290324,1.1442329165881835,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,15,0,14.951081464079232,-0.0067757838398085002,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,26,0.25,25.926380059573887,0.2508228409375845,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,33,3,32.883487581910749,3.0265770017251548,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,23,1.875,23.133882318516289,1.8868618304799665,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,32,0,31.845669731163959,0.011771250058304501,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,23,-0.125,22.99821887774949,-0.1031398883539274,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,22,2.25,22.121268943555918,2.2376242242735516,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,13,0.5,12.898328909143476,0.49725152726630201,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,28,-0.375,28.066662187784189,-0.36698985213904289,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,21,0.625,21.039077762017715,0.6432238660287195,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,19,1.875,19.07031696462516,1.852262825212144,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,-1.75,18.162076263616999,-1.727532069724002,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,25,-0.875,25.028171094815548,-0.89585217466268363,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,21,-0.875,21.064760552851354,-0.84905419061812215,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,17,-2.125,16.891501977303662,-2.1007107633644058,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,19,2.125,19.03994672494224,2.1210941043422729,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,-0.375,17.998472500109781,-0.36382280133746409,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,20,-2,19.829000531714691,-2.0079709609855847,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,20,0.625,19.958230013755063,0.63423537281964715,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,33,-0.125,33.083282339274199,-0.1428673722185054,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,24,1.125,23.870014933993112,1.1418204512107035,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,13,1,12.900966635196422,1.0007535871982669,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,11,0.25,11.016567103235554,0.2451075816111222,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,22,0.375,22.105722077208132,0.3915823886812631,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,26,1.125,25.924902195319937,1.1029667624533492,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,22,-0.125,21.978864619730786,-0.12988139298178999,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,21,0.125,21.13694084107863,0.11542386208921521,0.2344950776831648,5.6196470670873507e-05
