category,comparison_position,observed_mean,participant_sd,n_participants,sem,ci_low,ci_high
Geometry,5,0.08333333333333336,1.34651224951548,15,0.3476679678558493,-0.6623402959390224,0.8290069626056892
Geometry,6,-0.3433333333333333,1.1881658534220276,15,0.3067831041890557,-1.0013176512758517,0.314650984609185
Geometry,7,-0.5733333333333334,0.9397694752792658,15,0.2426474351353786,-1.0937603220688794,-0.052906344597787314
Geometry,8,-0.37666666666666665,1.0839522041826295,15,0.27987525565894306,-0.9769393892813143,0.22360605594798105
Geometry,9,-0.5466666666666666,1.257330884207078,15,0.3246414383470839,-1.2429533019796961,0.14961996864636284
Geometry,10,-0.05333333333333335,1.4586523460601113,15,0.3766224162798126,-0.8611080781413828,0.7544414114747161
Geometry,11,-0.73,1.6256646992186656,15,0.4197448204394121,-1.630263103200532,0.17026310320053206
Geometry,12,-0.4633333333333333,1.4801624749941988,15,0.38217630768891225,-1.2830199905017559,0.3563533238350893
Geometry,13,-0.5399999999999999,1.443235452526223,15,0.37264179148601245,-1.3392371537407148,0.259237153740715
Geometry,14,-0.16666666666666666,1.5383974345619102,15,0.3972125095937662,-1.018602769517451,0.6852694361841178
Geometry,15,-0.1333333333333333,1.5378169437163034,15,0.3970626275019221,-0.9849479710687735,0.7182813044021069
Geometry,16,0.013333333333333338,1.1002380694757883,15,0.28408024799620846,-0.5959582008690739,0.6226248675357405
Geometry,17,-0.4866666666666667,0.9370292468881692,15,0.24193991120714384,-1.0055761674995523,0.03224283416621887
Geometry,18,-0.1,1.3987239082208367,15,0.36114896016543013,-0.8745874821178552,0.6745874821178552
Geometry,19,-0.43333333333333335,1.5724942274101026,15,0.4060162636511084,-1.30415161069,0.43748494402333327
Geometry,20,-0.25,1.5795568998931315,15,0.40783983784487426,-1.1247294550118845,0.6247294550118846
Geometry,21,0.3,1.0977249200050074,15,0.2834313555930842,-0.3078997984142959,0.9078997984142958
Geometry,22,-0.2733333333333333,1.172735913925008,15,0.30279911094205936,-0.922772835594943,0.3761061689282764
Geometry,23,-0.43000000000000005,1.2800390619039717,15,0.3305046646166031,-1.1388620049641391,0.27886200496413904
Geometry,24,-0.32333333333333336,0.9990829128088753,15,0.2579620988526114,-0.8766070089395247,0.22994034227285798
Geometry,25,-0.12333333333333335,1.3601295456508475,15,0.35118393859935954,-0.8765479698514753,0.6298813031848085
Geometry,26,-0.6366666666666667,1.2172079683009138,15,0.3142817460066936,-1.310733971757112,0.03740063842377872
Car,1,0.02333333333333334,0.8210928402933205,15,0.21200525974307843,-0.43137272553199174,0.4780393921986584
Car,2,0.055,0.5911890258502049,15,0.15264435010522864,-0.2723895700914252,0.3823895700914252
Car,3,-0.19,0.6999553557192059,15,0.1807276957192782,-0.5776223559166089,0.19762235591660887
Car,4,-0.0575,0.8484597389219058,15,0.21907136258480228,-0.5273613421757064,0.41236134217570636
Car,5,-0.09333333333333334,0.6566260260568706,15,0.16954011090697446,-0.4569607062745716,0.27029403960790493
Car,6,-0.05749999999999999,0.716807156772308,15,0.18507881204142917,-0.4544545722819364,0.33945457228193643
Car,7,-0.12333333333333331,0.7453706332774193,15,0.19245386996236805,-0.5361058316667157,0.28943916500004907
Car,8,0.08000000000000002,0.9866497243558265,15,0.254751863398017,-0.4663884053380983,0.6263884053380984
Car,9,0.14666666666666667,0.7066404841286152,15,0.18245378845240487,-0.24465778996606247,0.5379911232993958
Car,10,0.03333333333333333,0.841006341632848,15,0.21714690367992304,-0.43240045500174484,0.4990671216684115
Car,11,-0.17666666666666667,0.7557940872889601,15,0.1951451942154785,-0.5952114814309883,0.24187814809765498
Car,12,0.08250000000000002,0.7194026539924833,15,0.18574896654202028,-0.3158919107336518,0.48089191073365184
Car,13,-0.1275,0.8481097679967072,15,0.2189810004804722,-0.597167534737247,0.34216753473724704
Car,14,-0.18416666666666667,0.7350058713727264,15,0.18977769994608268,-0.5911993511745177,0.2228660178411844
Car,15,-0.18,1.1542313459614584,15,0.29802125203861995,-0.8191920140887674,0.4591920140887675
Car,16,-0.21583333333333335,1.1184578296326897,15,0.28878456984017997,-0.8352146344023675,0.4035479677357009
Car,17,-0.12083333333333332,0.7717047841043386,15,0.1992533184683129,-0.5481891983074428,0.30652253164077625
Car,18,-0.5641666666666667,0.533328217981421,15,0.13770475375363483,-0.8595139893803412,-0.2688193439529922
Car,19,-0.10000000000000002,0.8293042479779575,15,0.21412543609051302,-0.5592533848713391,0.35925338487133907
Car,20,-0.22583333333333333,0.8620659708486573,15,0.2225844765619319,-0.7032295556003222,0.2515628889336555
Car,21,-0.23916666666666667,0.7066783888291018,15,0.18246357540398672,-0.6305121142228639,0.15217878088953055
Car,22,-0.19083333333333333,1.0297956917110629,15,0.26589210426620624,-0.7611151789857121,0.37944851231904553
Car,23,-0.31416666666666665,0.9070023560110105,15,0.23418700132010228,-0.8164478295812059,0.18811449624787263
Car,24,-0.06083333333333333,0.9155388083111549,15,0.23639110382637915,-0.5678418259621395,0.44617515929547286
Car,25,-0.2025,0.5806631061615184,15,0.149926569328042,-0.5240605100598388,0.11906051005983875
Car,26,-0.012499999999999992,0.8252164218295361,15,0.2130699639175112,-0.46948962220521806,0.44448962220521804
