experiment,mode,questionnaire_variable,questionnaire_label,observed_face_fni,observed_questionnaire_value,plot_face_fni,plot_questionnaire_value
5,online,maemuki_score,Maemuki,0.2026470588235294,-0.86130192906508696,0.21364680586046769,-0.85702091176906547
5,online,maemuki_score,Maemuki,0.28749999999999998,1.0412233234601658,0.2926717198681193,1.0413488996199809
5,online,maemuki_score,Maemuki,0.29191176470588232,1.7468579909369384,0.30177637269433749,1.7573900578906518
5,online,maemuki_score,Maemuki,0.31191176470588239,1.0651132249816462,0.30287238413179768,1.0688884745977691
5,online,maemuki_score,Maemuki,0.57794117647058818,1.0697507658033976,0.5780441739534905,1.0724110119219592
5,online,maemuki_score,Maemuki,0.3386764705882353,1.3146923495607703,0.35006128069619058,1.3127421213717101
5,online,maemuki_score,Maemuki,0.1692647058823529,0.70462962962962961,0.17562564767358149,0.69356547510143696
5,online,maemuki_score,Maemuki,1.0001470588235295,-0.082004253056884593,0.99340392896484564,-0.084673783295107899
5,online,maemuki_score,Maemuki,-0.6589705882352942,0.3443118528644844,-0.66149941388612354,0.3475286295998935
5,online,maemuki_score,Maemuki,0.032058823529411702,0.62416932482721954,0.0239323912263604,0.62864512045636423
5,online,maemuki_score,Maemuki,0.91852941176470604,1.0971953241690084,0.92248236640248837,1.0967591940151464
5,online,maemuki_score,Maemuki,-0.38132352941176467,0.81572270322270313,-0.39259672866159051,0.80536448865492516
5,online,maemuki_score,Maemuki,0.31470588235294111,0.4648008911166806,0.32220692700732317,0.46176995678392241
5,online,maemuki_score,Maemuki,0.82691176470588246,1.2324846206425155,0.8374279956766405,1.2275119574437448
5,online,maemuki_score,Maemuki,-0.042647058823529399,-0.2454969494443178,-0.037796269354615199,-0.2440839490577387
5,online,maemuki_score,Maemuki,0.17161764705882351,0.56862864231285282,0.17653165818315189,0.56470043012115079
5,online,maemuki_score,Maemuki,-0.32367647058823529,1.0989126857547911,-0.33046764487778429,1.1056627332465421
5,online,maemuki_score,Maemuki,0.78323529411764703,1.6386838307890941,0.77401332441009152,1.6436226735208428
5,online,maemuki_score,Maemuki,-0.061029411764705797,1.3674976582871321,-0.064264575815972405,1.3605717095129413
5,online,maemuki_score,Maemuki,0.93661764705882344,0.5117803979646085,0.9258787931250142,0.50913892841734154
5,online,maemuki_score,Maemuki,0.095735294117647002,1.0637768664084453,0.1064542918445555,1.0585007965125683
5,online,maemuki_score,Maemuki,0.1210294117647058,-0.079114136350978401,0.1171152133503392,-0.073519817409688604
5,online,maemuki_score,Maemuki,0.53470588235294114,1.9343095744411536,0.53471675547601727,1.9379582406175824
5,online,maemuki_score,Maemuki,-0.17117647058823521,1.0058909901015165,-0.17794151595970731,0.99743118365480921
5,online,maemuki_score,Maemuki,0.3030882352941176,1.0437112351586035,0.30246330464090748,1.052777807175443
5,online,maemuki_score,Maemuki,1.3576470588235292,0.013318017265385699,1.362613187405469,0.023041983822448601
5,online,maemuki_score,Maemuki,0.073088235294117607,0.89290619224829748,0.072906604085041099,0.89201835375576666
5,online,maemuki_score,Maemuki,0.075588235294117595,-0.38297353231563758,0.065558443819232606,-0.38736367754168932
5,online,maemuki_score,Maemuki,0.38823529411764701,0.44831111870585549,0.39140707342079789,0.44116775465896818
5,online,maemuki_score,Maemuki,0.00058823529411759995,0.90499670894407735,-0.0051166029399344996,0.91038518776728261
5,online,maemuki_score,Maemuki,0.14294117647058821,0.77611294650768337,0.13262118658975819,0.78515117729868844
5,online,maemuki_score,Maemuki,0.63970588235294112,1.4871857674489253,0.64476287863679627,1.4829350530706906
5,online,maemuki_score,Maemuki,0.22058823529411761,1.2061757930178982,0.22505098784853239,1.1983451875463424
5,online,maemuki_score,Maemuki,1.0070588235294118,0.498358269410901,1.0068779864901165,0.50014286687530396
5,online,maemuki_score,Maemuki,-0.13397058823529409,1.0490816688185109,-0.14418617078828511,1.0588454090975867
