age_point_order,experiment,age,age_jitter
145,4,36.0,-0.15001539425092997
146,4,47.0,0.12031145911879595
147,4,39.0,0.009400972289817936
148,4,45.0,0.02322454076355221
149,4,57.0,0.058167690930801826
150,4,36.0,-0.18246122290593755
151,4,46.0,0.0378737221953385
152,4,39.0,-0.15703010857885252
153,4,30.0,0.14731074526807175
154,4,50.0,-0.026960727713070762
155,4,34.0,-0.1803174463956249
156,4,63.0,-0.1664060479756468
157,4,29.0,0.14403030103322173
158,4,30.0,-0.16949448263005568
159,4,43.0,0.032713758855354734
160,4,27.0,0.15273472941199956
161,4,34.0,0.12614710706675397
162,4,53.0,0.05520725318347301
163,4,20.0,0.07967143506047009
164,4,28.0,-0.1457536961227291
165,4,32.0,-0.17613938570811072
166,4,19.0,0.17648305989645013
167,4,23.0,0.1603306723455659
168,4,72.0,0.13297134525728535
169,4,18.0,-0.028298547768687378
170,4,22.0,0.021744804116763713
171,4,34.0,0.05096959462300302
172,4,22.0,-0.12166012970864089
173,5,35.0,-0.05548935651591487
174,5,38.0,-0.07698796056525456
175,5,41.0,0.04840369048646958
176,5,35.0,-0.141320606436907
177,5,47.0,-0.16307133207736613
178,5,54.0,0.03430337143863985
179,5,48.0,0.11524071727025478
180,5,32.0,0.0081928495300923
181,5,43.0,0.011712082120444918
182,5,35.0,-0.1857091032237081
183,5,40.0,-0.15001913780907247
184,5,46.0,0.1302923606846198
185,5,31.0,0.09610497217051825
186,5,56.0,0.08194532585727461
187,5,52.0,0.005358318890398148
188,5,45.0,0.08024050264063948
189,5,50.0,-0.12616435016353944
190,5,51.0,-0.11238460996078997
191,5,42.0,0.1389507422197658
192,5,34.0,0.023942854196123683
193,5,37.0,-0.044780175724127555
194,5,50.0,0.14950980977628664
195,5,71.0,-0.04370892956757925
196,5,26.0,0.03278579123435764
197,5,39.0,-0.1774592961680642
198,5,65.0,-0.1357816958542175
199,5,24.0,-0.08123548147355997
200,5,40.0,-0.14209441323969724
201,5,35.0,-0.08110442021506602
202,5,44.0,0.11091245668222911
203,5,36.0,0.16466590547880303
204,5,45.0,0.1806036560624572
205,5,29.0,0.05806166604563242
206,5,27.0,0.0032064192084602207
207,5,45.0,0.05094830923786144
208,5,33.0,0.01623511846329952
209,5,45.0,0.089520785197819
210,5,24.0,-0.13536816251562678
211,5,24.0,0.034138386808221156
212,5,35.0,-0.1242495103697701
213,5,54.0,0.14435665381015342
214,5,58.0,0.17776925053628204
215,5,22.0,0.047452790382441726
216,5,28.0,-0.03599967891578829
217,5,43.0,0.17953957064575968
218,5,24.0,0.11036150554432789
219,5,32.0,0.04962667378057906
220,5,21.0,0.17657874284302574
221,5,53.0,0.09179400813216976
222,5,36.0,-0.04904181598532603
223,5,29.0,0.08510678106676588
224,5,50.0,-0.08467085652533095
225,5,33.0,-0.10098501026700496
226,5,36.0,0.16122556581905045
227,5,23.0,0.07293926194014363
228,5,53.0,0.03505922709769824
229,5,32.0,0.1732371329194722
230,5,44.0,-0.09725097030492444
231,5,56.0,0.14120079060841823
232,5,25.0,-0.028819290942640727
233,5,53.0,0.13737653553221077
234,5,48.0,-0.1495230408690272
235,5,35.0,-0.04110042805042995
236,5,22.0,-0.025242789788275825
237,5,26.0,-0.1253452554848838
238,5,35.0,0.09913126080469914
239,5,36.0,-0.13406958820457776
240,5,35.0,-0.11970227230341801
241,5,28.0,-0.04211333721284354
242,5,35.0,-0.15480124498531297
243,5,19.0,0.16843324606537166
244,5,31.0,-0.16842665891843098
245,5,65.0,0.09424503979770563
246,5,52.0,-0.06969676937543597
247,5,78.0,0.023326469490753572
248,5,30.0,-0.10686769424658904
249,5,28.0,-0.08380325704621876
250,5,50.0,-0.06630895826740892
251,5,43.0,0.13787365506365604
252,5,53.0,0.0892608926471394
253,5,27.0,-0.1419367723900661
254,5,42.0,-0.1559848299665168
255,5,51.0,-0.03622962643453501
256,5,22.0,-0.1264648074230096
257,5,38.0,-0.16096181731355783
258,5,35.0,0.06131222796244317
259,5,32.0,-0.047510717708879525
260,5,25.0,0.07872418319609507
261,5,21.0,0.1860085895854761
262,5,24.0,-0.05692911168581467
263,5,36.0,0.12929985665448118
264,5,37.0,-0.1084965884157159
265,5,23.0,-0.035700950737202995
266,5,28.0,0.13132371592263178
267,5,32.0,-0.1841458056226993
268,5,68.0,-0.15160302398511494
269,5,35.0,0.1485624888552156
270,5,30.0,0.035337710641206534
271,5,20.0,0.05405511187762057
272,5,38.0,-0.16186898016619727
273,5,21.0,0.17353375288821185
274,5,19.0,-0.17798909477711544
275,5,23.0,0.15571630581952586
276,5,34.0,0.012005402182716849
277,5,27.0,-0.06785316709827836
278,5,33.0,0.16131984862396587
279,5,53.0,0.08828651887896741
280,5,31.0,-0.17502137143355978
281,5,19.0,0.08541756818231794
282,5,30.0,0.04969214847650349
283,5,21.0,0.06812952836729885
284,5,19.0,0.09413377288422833
285,5,31.0,0.10961846516994818
286,5,26.0,0.03157601420866869
287,5,32.0,-0.03185822608152488
288,5,35.0,-0.16917295847628736
289,5,34.0,-0.1875586758333249
290,5,37.0,0.1672342990207964
291,5,27.0,0.039502630424035276
292,5,40.0,-0.11849936822314017
293,5,21.0,-0.07376391574985777
294,5,52.0,-0.13926956886194453
295,5,33.0,-0.017995622028681088
296,5,22.0,0.04231018910299568
297,5,26.0,-0.1391971736920071
298,5,31.0,-0.0010360007339367627
299,5,32.0,0.07684182714179132
300,5,21.0,-0.05056406492507538
301,5,42.0,-0.11398226466395203
302,5,21.0,0.055689158398640255
303,5,25.0,0.02247729649494093
