panel,method,method_label,neutral_threshold,profile_pattern,n,percent,face_fni_raw_mean,face_fni_raw_sd,geometry_fni_raw_mean,geometry_fni_raw_sd,scenery_fni_raw_mean,scenery_fni_raw_sd
b,neutral_band,+/-0.20 neutral band,0.2,0NF,2,1.2903225806451613,-0.0131617647058823,0.2579899888417388,-0.5999264705882352,0.3153904216674704,0.8025,0.0301560244917792
b,neutral_band,+/-0.20 neutral band,0.2,NFF,2,1.2903225806451613,-0.7772058823529412,0.3982674958741878,0.5867647058823529,0.2932413416097153,0.3639705882352941,0.0155979437026444
b,neutral_band,+/-0.20 neutral band,0.2,FNF,3,1.935483870967742,0.7117156862745099,0.3067508997137609,-0.5295588235294116,0.1158584627509076,0.5675,0.4587472598750935
b,neutral_band,+/-0.20 neutral band,0.2,N00,3,1.935483870967742,-0.2431372549019606,0.0191528710192866,0.0342156862745097,0.1061721252709222,0.0665686274509803,0.1029480389869433
b,neutral_band,+/-0.20 neutral band,0.2,N0N,4,2.5806451612903225,-0.7841544117647059,0.7213748844923529,-0.1145588235294117,0.1156482780738791,-0.633235294117647,0.3435747980695208
b,neutral_band,+/-0.20 neutral band,0.2,NN0,4,2.5806451612903225,-0.405220588235294,0.1441257250637241,-0.4838602941176471,0.2811529949333227,-0.0271323529411764,0.0862607080092172
b,neutral_band,+/-0.20 neutral band,0.2,NNN,4,2.5806451612903225,-0.4007352941176471,0.1543215889816982,-0.5916176470588236,0.2174078905838515,-0.964375,0.571177257816848
b,neutral_band,+/-0.20 neutral band,0.2,000,5,3.225806451612903,0.0612058823529412,0.1162757580199509,-0.0669999999999999,0.0930676494290159,-0.0181470588235293,0.0846991546552145
b,neutral_band,+/-0.20 neutral band,0.2,0FF,5,3.225806451612903,0.0177647058823529,0.0987814160968041,0.5785882352941176,0.479435588996624,0.8194705882352942,0.5165480646698687
b,neutral_band,+/-0.20 neutral band,0.2,0F0,6,3.870967741935484,0.0076225490196078,0.0587599227184459,0.903921568627451,0.4581676653510602,-0.0511029411764705,0.1387387499725459
b,neutral_band,+/-0.20 neutral band,0.2,0FN,6,3.870967741935484,-0.0404411764705882,0.1418780057377137,0.5525980392156862,0.2084866310274731,-0.7922303921568629,0.6355118595853165
b,neutral_band,+/-0.20 neutral band,0.2,F00,6,3.870967741935484,0.4855392156862745,0.4396418177475174,0.0702450980392157,0.146044225499041,-0.0047549019607843,0.1081574474951844
b,neutral_band,+/-0.20 neutral band,0.2,FF0,6,3.870967741935484,0.5673774509803922,0.3220055880883006,0.4845343137254902,0.2809960874856403,0.023578431372549,0.1364648092927886
b,neutral_band,+/-0.20 neutral band,0.2,FN0,8,5.161290322580645,0.6814338235294117,0.3610562403388047,-0.6300919117647058,0.302074307752623,0.0024632352941176,0.1122496596760102
b,neutral_band,+/-0.20 neutral band,0.2,NFN,8,5.161290322580645,-0.5632536764705882,0.4005764771832475,0.5924999999999999,0.3159876317057416,-0.8446139705882353,0.400487931036575
b,neutral_band,+/-0.20 neutral band,0.2,F0N,9,5.806451612903226,0.4274836601307189,0.2252016162771844,0.0010620915032679,0.1354578169221733,-0.6577941176470588,0.3937838728770673
b,neutral_band,+/-0.20 neutral band,0.2,FFF,10,6.451612903225806,0.7189117647058823,0.3422359886596843,0.5398382352941175,0.2685369950213885,0.7298088235294118,0.4620148517433714
b,neutral_band,+/-0.20 neutral band,0.2,FFN,10,6.451612903225806,0.5336470588235294,0.1721325438404405,0.5841764705882353,0.3871883797418914,-0.8315588235294118,0.301063986922138
b,neutral_band,+/-0.20 neutral band,0.2,00N,14,9.032258064516128,-0.0189180672268907,0.1199218926545338,0.0292857142857142,0.1191215274651856,-0.6366911764705883,0.5854790538394138
b,neutral_band,+/-0.20 neutral band,0.2,0NN,16,10.32258064516129,-0.0183547794117646,0.096439725137678,-0.6118014705882353,0.3400627549962508,-0.8391084558823529,0.410700963051901
b,neutral_band,+/-0.20 neutral band,0.2,FNN,17,10.967741935483872,0.5969809688581315,0.313793504259471,-0.5951989619377162,0.4188989817260913,-0.8196193771626298,0.3914557172329275
