analysis_record_id,experiment,mode,in_primary,face_fni,geometry_fni,scenery_fni,aq_score,daily_familiarity,maemuki_score,flow_original,flow_common12,negative_capability,novelty_benefit,familiarity_benefit,daily_food,daily_places,daily_movies,daily_restaurant,daily_clothes,daily_games,daily_books,daily_snacks
A043,3,lab,True,0.1558823529411764,-0.525,-1.4867647058823528,13,0.875,0.5952804992278676,1.25,1.25,0.7777777777777778,3.0,2.5,-1,0,1,2,2,2,0,1
A044,3,lab,True,-1.0588235294117647,0.7941176470588235,0.3529411764705882,16,-0.625,1.1950061390850866,2.16666666667,2.16666666667,2.3333333333333335,2.5,-2.0,-2,-1,-2,-1,1,1,0,-1
A045,3,lab,True,-0.2691176470588235,-0.8544117647058824,-1.5661764705882353,27,0.375,1.1624765828713195,1.5,1.5,2.111111111111111,0.5,0.0,2,-2,1,1,0,0,-1,2
A046,3,lab,True,-0.3426470588235294,0.5514705882352942,-0.875,16,0.125,0.7814637604111287,1.08333333333,1.08333333333,2.111111111111111,1.5,0.5,-1,-1,1,-1,2,0,-1,2
A047,4,online,True,0.3685294117647059,0.4130882352941176,0.9202941176470588,29,0.375,0.9522986759828864,1.23076923077,1.25,1.4444444444444444,0.0,1.0,1,-1,-1,1,2,1,1,-1
A048,4,online,True,0.9173529411764706,0.5613235294117648,0.2636764705882353,21,-0.375,0.3937966760335181,0.230769230769,0.25,1.4444444444444444,1.0,0.0,1,-1,-2,1,1,-2,-2,1
A049,4,online,True,0.4148529411764706,1.0683823529411764,-0.0455882352941176,18,2.25,1.0137733854839115,1.84615384615,1.75,2.6666666666666665,1.5,2.0,3,2,2,3,3,0,3,2
A050,4,online,True,0.3529411764705882,1.5655882352941175,-0.225735294117647,19,0.625,1.4358661806030228,1.92307692308,1.91666666667,2.0,0.0,2.0,2,0,-2,1,3,-1,0,2
A051,4,online,True,0.5488235294117647,2.3375,1.2475,34,1.375,0.1084760512392091,0.846153846154,0.916666666667,-0.6666666666666666,1.0,-2.0,3,2,-2,3,3,2,-2,2
A052,4,online,True,0.3219117647058823,0.2704411764705882,0.4348529411764706,20,-0.5,0.7347117794486215,0.923076923077,0.916666666667,2.0,1.0,1.0,-1,-1,-1,-1,1,1,-1,-1
A053,4,online,True,0.4944117647058823,0.6961764705882354,0.5964705882352942,10,0.25,0.8609047872205766,1.46153846154,1.41666666667,1.2222222222222223,0.5,0.0,2,1,-1,1,0,1,-2,0
A054,4,online,True,0.4454411764705882,0.6533823529411764,0.6747058823529413,18,0.625,1.8643518518518516,2.38461538462,2.33333333333,2.888888888888889,1.5,2.5,2,-2,-2,0,3,2,0,2
A055,4,online,True,0.3888235294117647,1.2551470588235294,-0.0208823529411764,37,1.0,-0.0041040100250626,0.230769230769,0.166666666667,1.7777777777777777,2.0,2.0,3,3,-2,0,-1,1,2,2
A056,4,online,True,-0.1030882352941176,0.8041176470588235,-0.1263235294117647,5,-0.5,1.312699994936837,1.61538461538,1.58333333333,2.4444444444444446,1.5,1.0,2,-1,-2,-1,1,-1,-3,1
A057,4,online,True,0.4888235294117647,1.0004411764705885,-0.3198529411764705,31,1.5,-0.506388762309815,1.30769230769,1.33333333333,0.2222222222222222,1.5,-0.5,2,2,2,1,2,1,1,1
A058,4,online,True,1.3076470588235294,0.6348529411764706,0.4364705882352941,7,-0.75,1.7642401458190933,1.53846153846,1.66666666667,3.0,2.5,1.5,2,1,-2,-1,-1,-3,-1,-1
A059,4,online,True,1.4925,0.8195588235294117,1.1245588235294115,11,-1.0,1.1467437533227005,0.923076923077,0.916666666667,2.0,0.5,1.0,-1,-1,-1,-1,-2,-1,-1,0
A060,4,online,True,0.0986764705882353,0.1813235294117647,-0.0610294117647058,18,1.375,1.3888993316624894,1.15384615385,1.08333333333,2.5555555555555554,2.0,0.0,2,1,1,2,2,2,1,0
A061,4,online,True,0.0945588235294117,0.5344117647058824,-0.448235294117647,13,2.125,-0.1421881724513303,1.38461538462,1.33333333333,2.7777777777777777,0.0,0.0,3,3,0,3,3,2,0,3
A062,4,online,True,0.2217647058823529,0.9092647058823528,-0.6904411764705882,20,0.875,1.6754987215513533,2.61538461538,2.58333333333,3.0,3.0,3.0,3,0,2,0,-2,3,0,1
A063,4,online,True,0.0248529411764705,0.5751470588235295,0.8930882352941176,27,2.0,1.1840447077289182,2.53846153846,2.5,0.8888888888888888,1.0,2.0,2,2,2,2,2,2,2,2
A064,4,online,True,0.4595588235294117,0.6397058823529411,0.3272058823529412,18,1.5,0.5580153034100402,0.923076923077,1.0,1.3333333333333333,1.0,1.5,2,2,-1,2,3,3,-1,2
A065,4,online,True,0.2105882352941176,1.4411764705882353,1.662205882352941,30,0.75,0.3501291106554265,0.230769230769,0.25,0.6666666666666666,0.0,0.0,2,0,0,1,1,0,2,0
A066,4,online,True,0.0495588235294117,-1.365735294117647,0.5994117647058823,21,2.625,1.3415745803903698,0.615384615385,0.416666666667,2.7777777777777777,-0.5,2.5,3,2,3,2,3,2,3,3
A067,4,online,True,1.0679411764705884,0.4555882352941176,0.1010294117647058,39,0.375,-0.5498661426293006,0.384615384615,0.25,0.4444444444444444,0.5,0.5,1,2,-2,0,2,2,-1,-1
A068,4,online,True,0.2058823529411764,0.7551470588235294,0.5054411764705882,18,-0.25,1.9969586213007269,2.76923076923,2.75,3.0,2.0,2.0,0,0,0,0,0,-1,-1,0
A069,4,online,True,0.2225,0.6567647058823529,0.1695588235294117,14,1.0,1.365798334219387,1.07692307692,1.08333333333,1.4444444444444444,2.0,1.0,0,-1,2,-1,2,2,2,2
A070,4,online,True,1.8847058823529412,-0.7758823529411765,-1.7522058823529412,25,-0.375,0.3896391863497126,0.846153846154,0.666666666667,1.6666666666666667,1.0,-1.0,-1,-1,-3,-1,2,2,-3,2
A071,4,online,True,0.0742647058823529,0.5152941176470588,0.5063235294117647,38,-0.625,-0.4237114250272145,-0.307692307692,-0.333333333333,0.0,0.5,0.5,0,1,0,-1,-1,-2,-2,0
A072,4,online,True,1.0389705882352942,0.4845588235294117,0.566764705882353,40,1.25,0.2192916002126528,1.07692307692,1.08333333333,1.5555555555555556,0.5,1.5,3,2,-1,3,2,-2,1,2
A073,4,online,True,1.3847058823529412,1.4505882352941175,0.4542647058823529,22,1.0,0.0442558416242626,1.15384615385,1.08333333333,0.8888888888888888,-1.0,0.0,3,2,-1,2,3,-1,-2,2
A074,4,online,True,0.2080882352941176,1.058529411764706,0.7166176470588235,19,-0.5,1.5361446545657071,1.92307692308,1.83333333333,1.5555555555555556,2.0,2.0,1,-2,-2,1,-2,0,-2,2
A075,4,online,True,0.6186764705882353,1.2039705882352942,0.8532352941176471,18,0.125,0.706487493987494,0.615384615385,0.583333333333,1.8888888888888888,0.0,1.0,1,2,-2,2,0,-1,-2,1
A076,4,online,True,0.165735294117647,0.3985294117647059,0.1486764705882353,5,1.5,0.5220567200830358,-0.0769230769231,-0.0833333333333,0.5555555555555556,0.0,0.0,3,3,0,2,3,1,0,0
