analysis_record_id,experiment,mode,in_primary,face_fni,geometry_fni,scenery_fni,aq_score,daily_familiarity,maemuki_score,flow_original,flow_common12,negative_capability,novelty_benefit,familiarity_benefit,daily_food,daily_places,daily_movies,daily_restaurant,daily_clothes,daily_games,daily_books,daily_snacks
A125,4,online,True,0.3572058823529411,1.675735294117647,0.793235294117647,15,-0.125,1.0424081035923145,1.69230769231,1.66666666667,1.8888888888888888,2.0,2.0,0,0,1,2,-1,-1,-1,-1
A126,4,online,True,0.1292647058823529,1.1248529411764705,0.9202941176470588,23,-0.75,1.1997443102706262,1.23076923077,1.16666666667,2.5555555555555554,2.5,2.0,-1,-1,-1,-1,0,1,-2,-1
A127,4,online,True,0.4797058823529411,0.1263235294117647,-0.1645588235294117,15,-1.125,0.8429153692311586,0.923076923077,0.916666666667,0.8888888888888888,1.0,-1.0,-1,-1,-2,-1,1,-2,-2,-1
A128,4,online,True,0.2341176470588235,0.2170588235294117,-0.1689705882352941,10,-0.25,1.1371898812688288,0.615384615385,0.583333333333,1.5555555555555556,0.5,0.5,-1,1,-1,-1,1,0,0,-1
A129,4,online,True,0.4411764705882353,-0.4444117647058823,0.6854411764705882,11,-1.625,1.248418394471026,1.0,0.916666666667,1.7777777777777777,1.5,-1.0,-2,-2,-1,-2,-3,-2,-2,1
A130,4,online,True,1.2279411764705883,1.2819117647058824,-0.3102941176470588,20,-1.5,0.3272303232829549,1.84615384615,1.83333333333,2.3333333333333335,2.0,2.0,0,0,-2,-2,-1,-3,-3,-1
A131,4,online,True,0.3844117647058823,0.9611764705882352,0.1980882352941176,28,1.0,0.428194222931065,-0.230769230769,0.0,1.2222222222222223,1.0,1.0,2,2,1,-2,2,3,-1,1
A132,4,online,True,0.4426470588235294,0.756764705882353,-0.759264705882353,19,2.5,0.7863098402572086,1.76923076923,1.83333333333,2.0,1.0,2.0,2,2,3,1,3,3,3,3
A133,4,online,True,1.9264705882352944,0.941029411764706,0.25,24,-1.375,0.8780916938811676,2.07692307692,2.0,1.7777777777777777,3.0,0.0,-2,-2,-3,-2,-1,-1,1,-1
A134,4,online,True,0.9111764705882353,0.7960294117647059,0.6488235294117647,22,0.25,0.5583095997569681,0.769230769231,0.75,1.2222222222222223,1.5,1.5,2,2,3,-1,-1,-3,0,0
A135,4,online,True,0.5333823529411765,0.1922058823529411,-0.3608823529411764,15,-0.875,0.5902306270727323,0.923076923077,0.916666666667,1.0,1.0,0.0,-1,0,0,-2,-2,-2,-1,1
