experiment1_record_id,category,comparison_position,familiar_target_preference
E1A009,Scenery,26,-0.7
E1A010,Scenery,1,-1.6
E1A010,Scenery,2,-0.814285714285714
E1A010,Scenery,3,-2.41428571428571
E1A010,Scenery,4,-1.25714285714286
E1A010,Scenery,5,0.0428571428571428
E1A010,Scenery,6,0.4
E1A010,Scenery,7,-1.94285714285714
E1A010,Scenery,8,-0.571428571428571
E1A010,Scenery,9,-1.2
E1A010,Scenery,10,-1.34285714285714
E1A010,Scenery,11,-1.51428571428571
E1A010,Scenery,12,-1.95714285714286
E1A010,Scenery,13,-0.371428571428571
E1A010,Scenery,14,0.4
E1A010,Scenery,15,-1.27142857142857
E1A010,Scenery,16,-1.48571428571429
E1A010,Scenery,17,-1.11428571428571
E1A010,Scenery,18,-1.55714285714286
E1A010,Scenery,19,-0.457142857142857
E1A010,Scenery,20,-1.81428571428571
E1A010,Scenery,21,-0.0999999999999999
E1A010,Scenery,22,-1.55714285714286
E1A010,Scenery,23,-1.75714285714286
E1A010,Scenery,24,-0.757142857142857
E1A010,Scenery,25,-1.14285714285714
E1A010,Scenery,26,-0.871428571428571
E1A011,Scenery,1,-0.614285714285714
E1A011,Scenery,2,-0.5
E1A011,Scenery,3,0.4
E1A011,Scenery,4,0.357142857142857
E1A011,Scenery,5,-1.05714285714286
E1A011,Scenery,6,-0.671428571428572
E1A011,Scenery,7,0.857142857142857
E1A011,Scenery,8,-0.8
E1A011,Scenery,9,-0.385714285714286
E1A011,Scenery,10,-0.642857142857143
E1A011,Scenery,11,-1.44285714285714
E1A011,Scenery,12,-1.17142857142857
E1A011,Scenery,13,0.0428571428571428
E1A011,Scenery,14,0.285714285714286
E1A011,Scenery,15,0.0571428571428571
E1A011,Scenery,16,-0.157142857142857
E1A011,Scenery,17,-0.471428571428571
E1A011,Scenery,18,-1.08571428571429
E1A011,Scenery,19,0.0285714285714287
E1A011,Scenery,20,-0.0857142857142858
E1A011,Scenery,21,-0.757142857142857
E1A011,Scenery,22,0.5
E1A011,Scenery,23,-0.642857142857143
E1A011,Scenery,24,-0.7
E1A011,Scenery,25,0.357142857142857
E1A011,Scenery,26,-0.257142857142857
E1A012,Scenery,1,-0.357142857142857
E1A012,Scenery,2,0.6
E1A012,Scenery,3,-1.98254111540207e-17
E1A012,Scenery,4,-0.242857142857143
E1A012,Scenery,5,-0.114285714285714
E1A012,Scenery,6,-0.0857142857142857
E1A012,Scenery,7,-1.58603289232165e-17
E1A012,Scenery,8,-0.514285714285714
E1A012,Scenery,9,-0.0571428571428571
E1A012,Scenery,10,0.0857142857142857
E1A012,Scenery,11,-0.128571428571429
E1A012,Scenery,12,-0.485714285714286
E1A012,Scenery,13,-0.228571428571429
E1A012,Scenery,14,-0.171428571428571
E1A012,Scenery,15,-0.485714285714286
E1A012,Scenery,16,-1.22857142857143
E1A012,Scenery,17,-0.528571428571429
E1A012,Scenery,18,-0.257142857142857
E1A012,Scenery,19,0.171428571428571
E1A012,Scenery,20,-0.6
E1A012,Scenery,21,-0.0857142857142857
E1A012,Scenery,22,-0.457142857142857
E1A012,Scenery,23,-0.1
E1A012,Scenery,24,-0.2
E1A012,Scenery,25,0.214285714285714
E1A012,Scenery,26,-0.271428571428571
E1A013,Scenery,1,-0.785714285714286
E1A013,Scenery,2,1.07142857142857
E1A013,Scenery,3,-0.285714285714286
E1A013,Scenery,4,0.285714285714286
E1A013,Scenery,5,0.285714285714286
E1A013,Scenery,6,0
E1A013,Scenery,7,-0.785714285714286
E1A013,Scenery,8,-0.214285714285714
E1A013,Scenery,9,0.285714285714286
E1A013,Scenery,10,-0.785714285714286
E1A013,Scenery,11,-1.92857142857143
E1A013,Scenery,12,-0.785714285714286
E1A013,Scenery,13,-0.0428571428571428
E1A013,Scenery,14,-0.242857142857143
E1A013,Scenery,15,-0.857142857142857
E1A013,Scenery,16,0.214285714285714
E1A013,Scenery,17,0.142857142857143
E1A013,Scenery,18,-0.0714285714285714
E1A013,Scenery,19,-0.428571428571429
E1A013,Scenery,20,0
E1A013,Scenery,21,0.642857142857143
E1A013,Scenery,22,-0.242857142857143
E1A013,Scenery,23,0.714285714285714
E1A013,Scenery,24,-0.714285714285714
E1A013,Scenery,25,0.428571428571429
E1A013,Scenery,26,-0.214285714285714
E1A014,Scenery,1,0.528571428571429
E1A014,Scenery,2,0.142857142857143
E1A014,Scenery,3,-0.271428571428571
E1A014,Scenery,4,0.1
E1A014,Scenery,5,-1.42857142857143
E1A014,Scenery,6,-0.114285714285714
E1A014,Scenery,7,0.214285714285714
E1A014,Scenery,8,-1.01428571428571
E1A014,Scenery,9,0.114285714285714
E1A014,Scenery,10,-0.6
E1A014,Scenery,11,-0.214285714285714
E1A014,Scenery,12,0.671428571428571
E1A014,Scenery,13,0.157142857142857
E1A014,Scenery,14,0.314285714285714
E1A014,Scenery,15,0.1
E1A014,Scenery,16,-0.0428571428571429
E1A014,Scenery,17,0.571428571428572
E1A014,Scenery,18,-1.85714285714286
E1A014,Scenery,19,-1.04285714285714
E1A014,Scenery,20,-0.0857142857142857
E1A014,Scenery,21,-0.557142857142857
E1A014,Scenery,22,-0.914285714285714
E1A014,Scenery,23,-0.114285714285714
E1A014,Scenery,24,0.4
E1A014,Scenery,25,0.457142857142857
E1A014,Scenery,26,-1.17142857142857
E1A015,Scenery,1,0.4
E1A015,Scenery,2,-0.128571428571428
E1A015,Scenery,3,0.142857142857143
E1A015,Scenery,4,-0.814285714285714
E1A015,Scenery,5,-0.571428571428571
E1A015,Scenery,6,-0.428571428571429
E1A015,Scenery,7,-0.128571428571429
E1A015,Scenery,8,-1.1
E1A015,Scenery,9,-0.342857142857143
E1A015,Scenery,10,-0.657142857142857
E1A015,Scenery,11,-0.5
E1A015,Scenery,12,-0.842857142857143
E1A015,Scenery,13,-0.5
E1A015,Scenery,14,-0.0714285714285714
E1A015,Scenery,15,-0.0571428571428571
E1A015,Scenery,16,-0.385714285714286
E1A015,Scenery,17,-1.1
E1A015,Scenery,18,-0.128571428571429
E1A015,Scenery,19,-0.8
E1A015,Scenery,20,-0.542857142857143
E1A015,Scenery,21,-0.614285714285714
E1A015,Scenery,22,-0.685714285714286
E1A015,Scenery,23,-0.757142857142857
E1A015,Scenery,24,-0.771428571428571
E1A015,Scenery,25,0.0714285714285714
E1A015,Scenery,26,-0.0571428571428572
E1A001,Geometry,1,-1.45
E1A001,Geometry,2,-0.15
E1A001,Geometry,3,-0.85
E1A001,Geometry,4,0.75
