broad_category,trial_within_subcategory,trial_c,observed_mean,participant_sd,n_participants,sem,t_critical,ci_low,ci_high,uncertainty,legacy_row_mean,mean_difference_vs_legacy
Geometry,8,-1.5,-0.002156862745098044,0.9688924368471283,153,0.07833031092123136,1.9756939278061865,-0.15691358239534545,0.15259985690514935,95% t CI across participant-level means,-0.0021568627450980447,8.673617379884035e-19
Geometry,9,-0.5,-0.0026797385620914984,1.016656797933374,153,0.08219183064473592,1.9756939278061865,-0.1650656392821707,0.1597061621579877,95% t CI across participant-level means,-0.0026797385620915028,4.336808689942018e-18
Geometry,10,0.5,-0.05034313725490196,0.9581592163021915,153,0.07746258147005833,1.9756939278061865,-0.20338548909748821,0.10269921458768429,95% t CI across participant-level means,-0.05034313725490196,0.0
Geometry,11,1.5,-0.045359477124183006,0.8815424308710504,153,0.07126848148911953,1.9756939278061865,-0.18616418324620407,0.09544522899783806,95% t CI across participant-level means,-0.045359477124183006,0.0
Geometry,12,2.5,0.07643790849673203,0.9869836963410115,153,0.07979290256424583,1.9756939278061865,-0.08120844458147915,0.23408426157494322,95% t CI across participant-level means,0.07643790849673203,0.0
Geometry,13,3.5,-0.12122549019607842,0.8971197111435525,153,0.07252782995820534,1.9756939278061865,-0.26451828344146433,0.022067303049307485,95% t CI across participant-level means,-0.12122549019607842,0.0
Geometry,14,4.5,0.0572875816993464,0.9885485750198207,153,0.0799194155070695,1.9756939278061865,-0.1006087222317904,0.21518388563048318,95% t CI across participant-level means,0.05728758169934641,-1.3877787807814457e-17
Geometry,15,5.5,0.03205882352941177,0.9869625085217542,153,0.07979118963058358,1.9756939278061865,-0.12558414531616416,0.18970179237498772,95% t CI across participant-level means,0.03205882352941176,1.3877787807814457e-17
Geometry,16,6.5,-0.03962418300653594,0.9222844996490582,153,0.074562282527902,1.9756939278061865,-0.18693643184028122,0.10768806582720933,95% t CI across participant-level means,-0.039624183006535946,6.938893903907228e-18
Geometry,17,7.5,0.0031209150326797345,1.0506025167075868,153,0.084936179351473,1.9756939278061865,-0.1646869787630827,0.17092880882844214,95% t CI across participant-level means,0.003120915032679741,-6.5052130349130266e-18
Geometry,18,8.5,-0.010588235294117648,0.9684660349817708,153,0.07829583837358764,1.9756939278061865,-0.16527684774130935,0.14410037715307406,95% t CI across participant-level means,-0.010588235294117654,5.204170427930421e-18
Scenery,1,-8.5,-0.016993464052287584,0.9673219253143404,153,0.07820334258915418,1.9756939278061865,-0.17149933313982643,0.13751240503525128,95% t CI across participant-level means,-0.01699346405228758,-3.469446951953614e-18
Scenery,2,-7.5,0.044689542483660125,1.0867806271738778,153,0.0878610062296648,1.9756939278061865,-0.12889691401523018,0.2182759989825504,95% t CI across participant-level means,0.04468954248366013,-6.938893903907228e-18
Scenery,3,-6.5,-0.18191176470588236,1.008131159421989,153,0.08150257362300506,1.9756939278061865,-0.34293590451343015,-0.020887624898334595,95% t CI across participant-level means,-0.18191176470588236,0.0
Scenery,4,-5.5,-0.2683333333333333,0.9178358323423526,153,0.0742026290926318,1.9756939278061865,-0.4149350170589006,-0.121731649607766,95% t CI across participant-level means,-0.2683333333333333,0.0
Scenery,5,-4.5,-0.2840359477124183,1.030018088919749,153,0.08327202699829352,1.9756939278061865,-0.44855598580905964,-0.11951590961577699,95% t CI across participant-level means,-0.2840359477124183,0.0
Scenery,6,-3.5,-0.3231045751633987,1.000095309033086,153,0.08085291362408137,1.9756939278061865,-0.4828451856559344,-0.16336396467086303,95% t CI across participant-level means,-0.3231045751633987,0.0
