manuscript_profile_id,analysis_record_id,experiment,task_label,mode,face_fni,geometry_fni,scenery_fni,mean_category_fni,4_nf_daily,average_category_fni_daily_nf,4_food/cuisine,4_places/activities,4_movies or videos,4_restaurant,4_clothes,4_digital games,4_books or magazines,4_snacks or treats,plot_order,average_rug_unit,jitter_face,jitter_geometry,jitter_scenery,jitter_food,jitter_places,jitter_movies,jitter_restaurant,jitter_clothes,jitter_games,jitter_books,jitter_snacks,daily_line_order
P029,A179,5,Task 5,online,0.6467647058823529,0.3610294117647058,0.3742647058823527,0.4606862745098038,2.375,1.417843137254902,3,2,2,2,3,2,2,3,28,-0.1676775165568663,0.0200261156492526,-0.0460857567228123,0.0658533507492602,-0.0077864271127344,0.0630794601865889,0.0852579474198705,0.1144748033034993,0.0201388843003541,-0.1241985032915146,-0.1099037385590111,-0.1477750692658944,52
P030,A180,5,Task 5,online,-0.5397058823529411,0.5820588235294117,0.1726470588235292,0.0716666666666666,-1.125,-0.5266666666666667,1,-1,-2,-2,-2,1,-2,-2,29,0.6557503040744153,0.1037288215323664,0.0498932887001383,0.1086440850392812,0.1259870312680707,0.1298922194850412,-0.1301323986513053,-0.0362721780558925,0.1492338170164918,-0.0078357722320639,-0.0877656819658433,-0.0058443607499665,7
P031,A181,5,Task 5,online,0.68,0.2019117647058822,-0.3052941176470588,0.1922058823529412,0.625,0.4086029411764706,2,2,-2,0,-1,0,2,2,30,-0.7515260907801727,-0.068272653046816,-0.092082809147227,0.0636538409626529,-0.0651530022970489,0.0521681622158408,-0.1035245496950058,0.1114860462681966,0.0204722403340448,0.0451719249254265,-0.0338245397447805,0.1299927779661173,0
P032,A182,5,Task 5,online,-0.0555882352941175,0.617205882352941,-0.3685294117647058,0.0643627450980392,0.5,0.2821813725490194,1,2,-1,-2,2,0,0,2,31,-0.3165747652159245,-0.0670249820312819,-0.1028540449263631,0.0123096644460828,0.0554002052715407,0.1468001505384087,0.0728245999117729,-0.0119194067608867,0.1363514200260869,-0.0776607945586454,0.0931344258836949,0.1183605573388193,41
P033,A183,5,Task 5,online,-0.1723529411764706,0.5380882352941176,-0.458970588235294,-0.0310784313725489,1.625,0.7969607843137255,2,2,1,2,1,1,2,2,32,0.0850348618414061,-0.0233874754881517,0.0709452372707592,0.0158472635041643,0.0896907599159599,-0.0070072721144075,0.1349807086567108,-0.0714690972219979,0.0852737047438963,-0.1496974852603177,0.0465181346057437,0.1439005054103514,-1
P034,A184,5,Task 5,online,0.4122058823529409,0.2477941176470588,-0.1158823529411763,0.1813725490196078,0.5,0.3406862745098038,2,-1,2,1,-2,2,1,-1,33,0.2173468564117503,0.0373787648574847,0.048286105136057,-0.1277149802546045,-0.0213693187989336,0.0209224379814551,-0.0610379857946838,-0.0640372041502755,-0.0961044248790792,0.048154574564882,0.0818308157749352,0.0074587013694746,-1
P035,A185,5,Task 5,online,0.2026470588235295,0.6483823529411764,0.3038235294117647,0.3849509803921568,1.625,1.0049754901960783,2,3,-1,2,3,-2,3,3,34,-0.9600895782624422,-0.0618508460569339,0.1144937458363552,-0.0092804884583263,-0.0240015661392363,-0.0351484281926048,0.0581377547821683,-0.0981361613720846,-0.1345771746019082,-0.0368572350712339,0.0492002557980811,0.0430448013077315,-1
P036,A186,5,Task 5,online,0.2874999999999999,0.1705882352941176,-0.1208823529411764,0.1124019607843137,1.375,0.7437009803921568,2,2,-2,1,2,2,2,2,35,-0.1329859951643651,-0.0347059355656327,-0.0559223396402393,-0.0478114753103111,0.0714532559706514,-0.0656018153895892,0.0218867536323785,-0.0277335724375616,-0.1373433856270284,0.0981163749529954,0.0274520767250639,0.0098367024715652,-1
P037,A187,5,Task 5,online,0.2919117647058823,0.9841176470588237,0.0152941176470588,0.4304411764705882,0.125,0.2777205882352941,-2,-2,3,-2,3,-3,3,1,36,0.4677816978546778,-0.1005748168374373,-0.0732302925900002,-0.0823284016350582,-0.0417722993973871,0.0437219278689107,-0.0585636215317079,0.0476673557951666,-0.0594951574863136,-0.0828917706138325,0.071709632755489,0.1205486883353999,-1
P038,A188,5,Task 5,online,0.3119117647058822,0.6476470588235294,0.1930882352941175,0.3842156862745098,0.875,0.6296078431372549,2,-3,1,2,0,2,0,3,37,-0.6058452741115425,-0.0024951057183175,-0.04547550911102,-0.0511373562906944,-0.0229416156037089,0.0909097332603659,-0.1354024479375713,0.1047031265662518,0.0807275059413156,0.1379595368503727,0.117485596124815,0.0548937003765416,-1
