4_1_n_affect_daily,4_2_f_affect_daily,4_nf_daily,aq_score,experiment,plot_4_1_n_affect_daily_x,plot_4_1_n_affect_daily_aq,plot_4_2_f_affect_daily_x,plot_4_2_f_affect_daily_aq
1.0,-1.0,0.375,23,4,1.0404492213571288,23.185959158791658,-0.9840633506664938,23.023236441040716
0.0,0.5,0.875,17,4,-0.019961748724828202,16.802447394393173,0.5966613133166648,16.86161171720854
1.0,1.5,0.125,17,4,0.9160198381601209,17.24380532454444,1.4615492871278095,16.832326641881817
0.0,0.0,0.75,18,4,-0.06782546291868968,17.732866263538373,0.006248368672393511,17.723783473453334
-0.5,1.5,2.125,22,4,-0.4856483667743274,21.9913368496778,1.5040828772943957,21.956039010277856
-1.5,-1.5,-0.625,31,4,-1.5728294683148136,30.879317255194444,-1.585079528866787,31.123271053278458
-1.0,1.0,1.875,16,4,-0.9697670428907542,16.25193246738517,0.9374817470439758,16.01919353444247
1.0,0.5,-0.875,25,4,0.9437460372481548,24.73888231160382,0.5623046605329673,25.114306281873183
2.0,2.5,-0.375,16,4,2.025778581075333,15.74892426099146,2.5235140431511063,15.933819792994637
1.5,1.0,0.375,19,4,1.511854983473417,18.83407397557785,1.096409717847135,19.30515144258349
2.0,-1.0,0.25,13,4,1.8970155448079924,12.785716234221187,-1.0250286899745644,12.819434801666748
1.5,0.5,0.125,13,4,1.402183572774369,12.791042783386954,0.5216553564563767,12.993671803365533
1.0,1.0,1.375,20,4,1.017853042785913,20.277835343016328,1.0857697023949644,19.747847493525995
0.0,1.0,0.875,22,4,0.09783196683399173,21.802908462741364,0.9299930780849258,21.798483974336527
2.0,1.0,0.5,15,4,1.9510283830247708,15.243704543954228,0.9717043521034295,15.294404082476476
0.0,0.0,1.625,17,4,0.0788732307636218,17.207585565874922,-0.08057119349364816,16.692362229962047
1.5,-1.0,0.5,29,4,1.3955332935363556,29.191887956159885,-1.071909982143991,29.210762558410444
2.0,2.5,0.625,16,4,1.9655170910385638,16.304242482823657,2.4793957510204527,15.760526510958389
0.5,2.0,1.5,18,4,0.589293328277421,17.72158453421171,2.0181576035677184,18.144592444188195
0.5,0.0,1.125,22,4,0.41886864508234045,21.960276508653767,0.007816248813631656,22.276152635957338
2.0,2.0,0.375,11,4,2.0258027226923168,11.240183702875584,2.0770163662126078,11.08044431869301
1.5,-1.0,1.625,22,4,1.520902562658491,21.76225358564351,-1.002161932777771,22.051066390760198
0.0,0.5,-0.375,12,4,-0.02694165182923595,11.777008289045979,0.5391903568348174,12.072608744416302
1.5,1.0,0.25,32,4,1.3996519979039481,31.88925753000784,1.0431449509149222,31.718316940971732
1.5,0.5,0.875,26,4,1.5060560488853778,26.18029834903696,0.598707335426416,26.172678010930497
0.0,0.0,0.0,25,4,-0.07038709332016524,24.98140649261002,-0.05618247137013419,25.076634057995022
0.0,0.0,0.375,27,4,0.06713766580553994,26.711003706802856,0.09981602623928985,27.288232392219395
2.5,2.5,-0.625,7,4,2.414745012779826,7.24732686201786,2.4708892904579067,6.743525951871008
2.0,2.0,-0.125,15,4,2.0697539273073398,14.75942182081513,1.978724351012311,15.27285508267138
2.5,2.0,-0.75,23,4,2.5070974003483246,23.20813207186446,2.036374406274663,23.08904159602948
1.0,-1.0,-1.125,15,4,0.9215185357283788,14.851492819491249,-0.9294923157082344,15.284471294302833
0.5,0.5,-0.25,10,4,0.5061924788679771,10.311140601836232,0.43250149549549133,10.166200789058948
1.5,-1.0,-1.625,11,4,1.4557715467474455,11.306296725963602,-0.9156529049601424,11.222149286241331
2.0,2.0,-1.5,20,4,2.075235166417628,20.03367153449649,2.059247695304372,20.13926471986213
1.0,1.0,1.0,28,4,1.0709347082534029,28.12211061085108,0.9154035659200584,28.137985307053082
1.0,2.0,2.5,19,4,0.9888820494690552,18.801637410455463,2.0975240353271487,18.70084075609962
3.0,0.0,-1.375,24,4,3.0379593770362314,24.029276267453007,0.09467750933452554,23.700462800335092
