broad_category,exposure_index,observed_mean,participant_sd,n_participants,sem,ci_low,ci_high
Scenery,10,0.13567460317460317,1.0248679628468447,126,0.09130249484890138,-0.045024365629191904,0.3163735719783982
Scenery,11,0.15811507936507935,0.981326331375447,126,0.08742349801492176,-0.014906873284301875,0.33113703201446054
Scenery,12,0.11496031746031746,1.0652292703510817,126,0.09489816590516525,-0.07285493062039983,0.30277556554103474
Scenery,13,0.10440476190476192,1.007316406526342,126,0.08973887793566357,-0.0731996149681792,0.28200913877770306
Scenery,14,0.14753968253968253,1.0500425698097662,126,0.0935452270894239,-0.037597931712258476,0.3326772967916235
Scenery,15,0.10990079365079365,1.1027104062623898,126,0.09823725088248011,-0.08452291801186156,0.30432450531344885
Scenery,16,0.19396825396825398,1.095532668150123,126,0.09759780714847792,0.0008100808161670414,0.38712642712034095
Scenery,17,0.0721031746031746,1.1192376607628254,126,0.09970961573687648,-0.1252345298406491,0.2694408790469983
Scenery,18,0.19152777777777777,1.0121390700996686,126,0.09016851495430793,0.013073095922947031,0.3699824596326085
Geometry,1,0.7208730158730159,1.0810008009923173,126,0.09630320552717742,0.5302770200017126,0.9114690117443192
Geometry,2,0.7060515873015873,0.9751314964236674,126,0.08687161825403672,0.5341218731924634,0.8779813014107113
Geometry,3,0.6510515873015873,0.9196483215433278,126,0.0819287841794488,0.4889043552782423,0.8131988193249323
Geometry,4,0.6890476190476191,1.01572682632403,126,0.09048813768237521,0.5099603641457584,0.8681348739494799
Geometry,5,0.6948412698412698,1.0310366504655277,126,0.09185204522021438,0.5130546726482796,0.87662786703426
Geometry,6,0.6246230158730158,0.9759451351105922,126,0.08694410294934857,0.45254984555583777,0.7966961861901939
Geometry,7,0.6409523809523808,0.9582932148952562,126,0.08537154490971866,0.4719914981648645,0.8099132637398971
Geometry,8,0.7419444444444444,0.962175186173957,126,0.08571737839805663,0.5722991142623206,0.9115897746265682
Geometry,9,0.7295238095238096,0.9556598094659897,126,0.08513694250789042,0.5610272340058746,0.8980203850417445
Geometry,10,0.551686507936508,0.9564854326839,126,0.08521049487008056,0.38304436316525914,0.7203286527077568
Geometry,11,0.678531746031746,0.9682393438526068,126,0.08625761650217287,0.5078172175929494,0.8492462744705427
Geometry,12,0.7122420634920635,1.0168682229947537,126,0.09058982137961932,0.532953563933454,0.891530563050673
Geometry,13,0.7233531746031746,0.9364009377771046,126,0.08342122585275594,0.5582522152823147,0.8884541339240345
Geometry,14,0.6908928571428571,0.9567505142034527,126,0.08523411020878846,0.5222039746854198,0.8595817396002944
Geometry,15,0.7064087301587302,0.9465565749616736,126,0.08432596192154257,0.5395171858714912,0.8733002744459691
Geometry,16,0.792063492063492,1.0233608395558762,126,0.09116822963474824,0.6116302507820811,0.9724967333449029
Geometry,17,0.710734126984127,0.9747870571289052,126,0.08684093316280952,0.5388651424788499,0.8826031114894041
Geometry,18,0.6814087301587302,1.009435064579775,126,0.08992762299651298,0.5034308033853319,0.8593866569321285
